scenario,policy,cell_id,category,channel,historical_spend,minimum_spend,maximum_spend,allocated_spend,allocation_share,predicted_incremental_contribution,predicted_incremental_profit
Base,Historical,Beauty | Affiliate,Beauty,Affiliate,73228.74375426142,29291.49750170457,161103.23625937515,87809.78674395144,0.0731748222866262,,
Base,Equal,Beauty | Paid Search,Beauty,Paid Search,89481.96028419399,35792.7841136776,196860.3126252268,100000.0,0.08333333333333333,,
Base,Equal,Electronics | Affiliate,Electronics,Affiliate,52162.91533670347,20865.16613468139,114758.41374074764,100000.0,0.08333333333333333,,
Base,Equal,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,110313.34337041707,44125.33734816683,242689.35541491758,100000.0,0.08333333333333333,,
Base,Equal,Electronics | Paid Search,Electronics,Paid Search,71178.82837293956,28471.531349175828,156593.42242046705,100000.0,0.08333333333333333,,
Base,Equal,Grocery | Affiliate,Grocery,Affiliate,94834.19343614153,37933.677374456616,208635.2255595114,100000.0,0.08333333333333333,,
Base,Equal,Grocery | Lifecycle CRM,Grocery,Lifecycle CRM,66454.58917745414,26581.835670981658,146200.0961903991,100000.0,0.08333333333333333,,
Base,Equal,Grocery | Paid Search,Grocery,Paid Search,104841.43012926997,41936.57205170799,230651.14628439394,100000.0,0.08333333333333333,,
Base,Equal,Home | Affiliate,Home,Affiliate,61446.09484640107,24578.43793856043,135181.40866208237,100000.0,0.08333333333333333,,
Base,Equal,Home | Lifecycle CRM,Home,Lifecycle CRM,126466.2648823791,50586.505952951644,278225.78274123406,100000.0,0.08333333333333333,,
Base,Equal,Home | Paid Search,Home,Paid Search,89434.61026176963,35773.84410470785,196756.1425758932,100000.0,0.08333333333333333,,
Base,Optimized,Beauty | Affiliate,Beauty,Affiliate,73228.74375426142,29291.49750170457,161103.23625937515,62244.43219112221,0.051870360159268505,83315.13538813549,21070.70319701328
Base,Optimized,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,60893.91167713842,24357.56467085537,133966.60568970453,115698.432186563,0.09641536015546917,171469.78424186772,55771.35205530471
Base,Optimized,Beauty | Paid Search,Beauty,Paid Search,89481.96028419399,35792.7841136776,196860.3126252268,82770.81326287944,0.0689756777190662,104603.25044931764,21832.437186438197
Base,Optimized,Electronics | Affiliate,Electronics,Affiliate,52162.91533670347,20865.16613468139,114758.41374074764,103021.75778998935,0.08585146482499112,186300.32297090924,83278.56518091989
Base,Optimized,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,110313.34337041707,44125.33734816683,242689.35541491758,68160.06877537267,0.056800057312810556,94616.2520120876,26456.183236714933
Base,Optimized,Electronics | Paid Search,Electronics,Paid Search,71178.82837293956,28471.531349175828,156593.42242046705,108547.71326873284,0.09045642772394404,164653.52534159095,56105.81207285811
Base,Optimized,Grocery | Affiliate,Grocery,Affiliate,94834.19343614153,37933.677374456616,208635.2255595114,87721.62892843093,0.07310135744035912,114596.85520862653,26875.226280195595
Base,Optimized,Grocery | Lifecycle CRM,Grocery,Lifecycle CRM,66454.58917745414,26581.835670981658,146200.0961903991,146200.0961903991,0.12183341349199926,240286.34447155928,94086.24828116017
Base,Optimized,Grocery | Paid Search,Grocery,Paid Search,104841.43012926997,41936.57205170799,230651.14628439394,96978.32286957472,0.08081526905797894,139340.00344260212,42361.68057302739
Base,Optimized,Home | Affiliate,Home,Affiliate,61446.09484640107,24578.43793856043,135181.40866208237,130572.95154860229,0.10881079295716857,211964.55669659356,81391.60514799127
Base,Optimized,Home | Lifecycle CRM,Home,Lifecycle CRM,126466.2648823791,50586.505952951644,278225.78274123406,88526.38541766538,0.07377198784805448,110682.7159705242,22156.33055285881
Base,Optimized,Home | Paid Search,Home,Paid Search,89434.61026176963,35773.84410470785,196756.1425758932,109557.3975706678,0.09129783130888984,229048.45554705133,119491.05797638353
Base,Oracle,Beauty | Affiliate,Beauty,Affiliate,73228.74375426142,29291.49750170457,161103.23625937515,62244.43219112221,0.051870360159268505,83576.49979517193,21332.06760404972
Base,Oracle,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,60893.91167713842,24357.56467085537,133966.60568970453,101997.30205920685,0.08499775171600571,160384.67752233957,58387.37546313272
Base,Oracle,Beauty | Paid Search,Beauty,Paid Search,89481.96028419399,35792.7841136776,196860.3126252268,82770.81326287944,0.0689756777190662,104989.04354001714,22218.2302771377
Base,Oracle,Electronics | Affiliate,Electronics,Affiliate,52162.91533670347,20865.16613468139,114758.41374074764,99109.5391397366,0.08259128261644717,181974.68191756448,82865.14277782787
Base,Oracle,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,110313.34337041707,44125.33734816683,242689.35541491758,77219.34035929196,0.06434945029940997,98562.07442611257,21342.7340668206
Base,Oracle,Electronics | Paid Search,Electronics,Paid Search,71178.82837293956,28471.531349175828,156593.42242046705,108547.71326873284,0.09045642772394404,166355.5342271495,57807.82095841666
Base,Oracle,Grocery | Affiliate,Grocery,Affiliate,94834.19343614153,37933.677374456616,208635.2255595114,87721.62892843093,0.07310135744035912,115187.850663807,27466.221735376064
Base,Oracle,Grocery | Lifecycle CRM,Grocery,Lifecycle CRM,66454.58917745414,26581.835670981658,146200.0961903991,121279.62524885382,0.10106635437404485,224319.64562099925,103040.02037214543
Base,Oracle,Grocery | Paid Search,Grocery,Paid Search,104841.43012926997,41936.57205170799,230651.14628439394,96978.32286957472,0.08081526905797894,139319.04045263032,42340.71758305559
Base,Oracle,Home | Affiliate,Home,Affiliate,61446.09484640107,24578.43793856043,135181.40866208237,130572.95154860229,0.10881079295716857,214229.55273871036,83656.60119010808
Base,Oracle,Home | Lifecycle CRM,Home,Lifecycle CRM,126466.2648823791,50586.505952951644,278225.78274123406,95170.55047436935,0.07930879206197446,113864.45587827041,18693.905403901066
Base,Oracle,Home | Paid Search,Home,Paid Search,89434.61026176963,35773.84410470785,196756.1425758932,136387.78064919868,0.11365648387433223,250860.71268305034,114472.93203385166
Growth,Historical,Beauty | Affiliate,Beauty,Affiliate,73228.74375426142,29291.49750170457,161103.23625937515,100981.25475554416,0.0731748222866262,,
Growth,Historical,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,60893.91167713842,24357.56467085537,133966.60568970453,83971.72056871289,0.0608490728758789,,
Growth,Historical,Beauty | Paid Search,Beauty,Paid Search,89481.96028419399,35792.7841136776,196860.3126252268,123394.17780818946,0.0894160708754996,,
Growth,Historical,Electronics | Affiliate,Electronics,Affiliate,52162.91533670347,20865.16613468139,114758.41374074764,71931.81764914548,0.052124505542859044,,
Growth,Historical,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,110313.34337041707,44125.33734816683,242689.35541491758,152120.31858972937,0.11023211492009374,,
Growth,Historical,Electronics | Paid Search,Electronics,Paid Search,71178.82837293956,28471.531349175828,156593.42242046705,98154.4545574795,0.07112641634599964,,
Growth,Historical,Grocery | Affiliate,Grocery,Affiliate,94834.19343614153,37933.677374456616,208635.2255595114,130774.82086881046,0.09476436294841338,,
Growth,Historical,Grocery | Lifecycle CRM,Grocery,Lifecycle CRM,66454.58917745414,26581.835670981658,146200.0961903991,91639.80501868171,0.06640565581063892,,
Growth,Historical,Grocery | Paid Search,Grocery,Paid Search,104841.43012926997,41936.57205170799,230651.14628439394,144574.63861932358,0.10476423088356782,,
Growth,Historical,Home | Affiliate,Home,Affiliate,61446.09484640107,24578.43793856043,135181.40866208237,84733.17223957801,0.06140084944896957,,
Growth,Historical,Home | Lifecycle CRM,Home,Lifecycle CRM,126466.2648823791,50586.505952951644,278225.78274123406,174394.93643268268,0.12637314234252367,,
Growth,Historical,Home | Paid Search,Home,Paid Search,89434.61026176963,35773.84410470785,196756.1425758932,123328.88289212261,0.08936875571892942,,
Growth,Equal,Beauty | Affiliate,Beauty,Affiliate,73228.74375426142,29291.49750170457,161103.23625937515,115000.0,0.08333333333333333,,
Growth,Equal,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,60893.91167713842,24357.56467085537,133966.60568970453,115000.0,0.08333333333333333,,
Growth,Equal,Beauty | Paid Search,Beauty,Paid Search,89481.96028419399,35792.7841136776,196860.3126252268,115000.0,0.08333333333333333,,
Growth,Equal,Electronics | Affiliate,Electronics,Affiliate,52162.91533670347,20865.16613468139,114758.41374074764,114758.41374074764,0.08315827082662872,,
Growth,Equal,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,110313.34337041707,44125.33734816683,242689.35541491758,115000.0,0.08333333333333333,,
Growth,Equal,Electronics | Paid Search,Electronics,Paid Search,71178.82837293956,28471.531349175828,156593.42242046705,115241.58625925239,0.08350839584003797,,
Growth,Equal,Grocery | Affiliate,Grocery,Affiliate,94834.19343614153,37933.677374456616,208635.2255595114,115000.0,0.08333333333333333,,
Growth,Equal,Grocery | Lifecycle CRM,Grocery,Lifecycle CRM,66454.58917745414,26581.835670981658,146200.0961903991,115000.0,0.08333333333333333,,
Growth,Equal,Grocery | Paid Search,Grocery,Paid Search,104841.43012926997,41936.57205170799,230651.14628439394,115000.0,0.08333333333333333,,
Growth,Equal,Home | Affiliate,Home,Affiliate,61446.09484640107,24578.43793856043,135181.40866208237,115000.0,0.08333333333333333,,
Growth,Equal,Home | Lifecycle CRM,Home,Lifecycle CRM,126466.2648823791,50586.505952951644,278225.78274123406,115000.0,0.08333333333333333,,
Growth,Equal,Home | Paid Search,Home,Paid Search,89434.61026176963,35773.84410470785,196756.1425758932,115000.0,0.08333333333333333,,
Growth,Optimized,Beauty | Affiliate,Beauty,Affiliate,73228.74375426142,29291.49750170457,161103.23625937515,73228.74375426142,0.05306430706830538,95130.89623823523,21902.152483973812
Growth,Optimized,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,60893.91167713842,24357.56467085537,133966.60568970453,133966.60568970453,0.0970772504997859,193668.7349316365,59702.12924193198
Growth,Optimized,Beauty | Paid Search,Beauty,Paid Search,89481.96028419399,35792.7841136776,196860.3126252268,102904.2543268231,0.07456830023682832,123611.67193175087,20707.417604927774
Growth,Optimized,Electronics | Affiliate,Electronics,Affiliate,52162.91533670347,20865.16613468139,114758.41374074764,114758.41374074764,0.08315827082662872,218654.99052434196,103896.57678359433
Growth,Optimized,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,110313.34337041707,44125.33734816683,242689.35541491758,77219.34035929196,0.055956043738617366,112425.8499487237,35206.509589431735
Growth,Optimized,Electronics | Paid Search,Electronics,Paid Search,71178.82837293956,28471.531349175828,156593.42242046705,135239.7739085852,0.09799983616564144,202202.02042154068,66962.24651295549
Growth,Optimized,Grocery | Affiliate,Grocery,Affiliate,94834.19343614153,37933.677374456616,208635.2255595114,109059.32245156278,0.07902849453011795,131094.47731015878,22035.154858595997
Growth,Optimized,Grocery | Lifecycle CRM,Grocery,Lifecycle CRM,66454.58917745414,26581.835670981658,146200.0961903991,146200.0961903991,0.105942098688695,253014.32125690993,106814.22506651081
Growth,Optimized,Grocery | Paid Search,Grocery,Paid Search,104841.43012926997,41936.57205170799,230651.14628439394,112704.53738896523,0.08166995462968495,154445.29200212954,41740.75461316432
Growth,Optimized,Home | Affiliate,Home,Affiliate,61446.09484640107,24578.43793856043,135181.40866208237,135181.40866208237,0.09795754250875534,236162.42094838683,100981.01228630447
Growth,Optimized,Home | Lifecycle CRM,Home,Lifecycle CRM,126466.2648823791,50586.505952951644,278225.78274123406,107496.32515002224,0.0778958877898712,134355.01077153967,26858.685621517434
Growth,Optimized,Home | Paid Search,Home,Paid Search,89434.61026176963,35773.84410470785,196756.1425758932,132041.17837755382,0.09568201331706798,265835.76041285304,133794.58203529922
Growth,Oracle,Beauty | Affiliate,Beauty,Affiliate,73228.74375426142,29291.49750170457,161103.23625937515,73228.74375426142,0.05306430706830538,96534.46957779273,23305.725823531306
Growth,Oracle,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,60893.91167713842,24357.56467085537,133966.60568970453,115698.432186563,0.08383944361345146,180940.0913169034,65241.659130340384
Growth,Oracle,Beauty | Paid Search,Beauty,Paid Search,89481.96028419399,35792.7841136776,196860.3126252268,96193.10730550854,0.069705150221383,121025.45094011666,24832.343634608114
Growth,Oracle,Electronics | Affiliate,Electronics,Affiliate,52162.91533670347,20865.16613468139,114758.41374074764,114758.41374074764,0.08315827082662872,218842.66481321683,104084.2510724692
Growth,Oracle,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,110313.34337041707,44125.33734816683,242689.35541491758,85492.84111207325,0.061951334139183516,118203.82050065655,32710.979388583306
Growth,Oracle,Electronics | Paid Search,Electronics,Paid Search,71178.82837293956,28471.531349175828,156593.42242046705,135071.98711786722,0.09787825153468639,206974.801890816,71902.81477294877
Growth,Oracle,Grocery | Affiliate,Grocery,Affiliate,94834.19343614153,37933.677374456616,208635.2255595114,101946.75794385216,0.07387446227815374,130389.9502544884,28443.192310636237
Growth,Oracle,Grocery | Lifecycle CRM,Grocery,Lifecycle CRM,66454.58917745414,26581.835670981658,146200.0961903991,136231.907813781,0.09871877377810218,246218.86919421758,109986.96138043658
Growth,Oracle,Grocery | Paid Search,Grocery,Paid Search,104841.43012926997,41936.57205170799,230651.14628439394,112704.53738896523,0.08166995462968495,156558.1151987676,43853.57780980237
Growth,Oracle,Home | Affiliate,Home,Affiliate,61446.09484640107,24578.43793856043,135181.40866208237,135181.40866208237,0.09795754250875534,242898.11527960195,107716.70661751958
Growth,Oracle,Home | Lifecycle CRM,Home,Lifecycle CRM,126466.2648823791,50586.505952951644,278225.78274123406,116981.29501620067,0.08476905435956571,139841.76748486847,22860.472468667795
Growth,Oracle,Home | Paid Search,Home,Paid Search,89434.61026176963,35773.84410470785,196756.1425758932,156510.56795809686,0.11341345504209917,292909.6931255265,136399.12516742962
Conservative,Historical,Beauty | Affiliate,Beauty,Affiliate,73228.74375426142,29291.49750170457,161103.23625937515,74638.31873235872,0.0731748222866262,,
Conservative,Historical,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,60893.91167713842,24357.56467085537,133966.60568970453,62066.05433339649,0.06084907287587891,,
Conservative,Historical,Beauty | Paid Search,Beauty,Paid Search,89481.96028419399,35792.7841136776,196860.3126252268,91204.3922930096,0.0894160708754996,,
Conservative,Historical,Electronics | Affiliate,Electronics,Affiliate,52162.91533670347,20865.16613468139,114758.41374074764,53166.99565371622,0.052124505542859044,,
Conservative,Historical,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,110313.34337041707,44125.33734816683,242689.35541491758,112436.75721849564,0.11023211492009376,,
Conservative,Historical,Electronics | Paid Search,Electronics,Paid Search,71178.82837293956,28471.531349175828,156593.42242046705,72548.94467291956,0.07112641634599957,,
Conservative,Historical,Grocery | Affiliate,Grocery,Affiliate,94834.19343614153,37933.677374456616,208635.2255595114,96659.65020738165,0.09476436294841338,,
Conservative,Historical,Grocery | Lifecycle CRM,Grocery,Lifecycle CRM,66454.58917745414,26581.835670981658,146200.0961903991,67733.7689268517,0.06640565581063892,,
Conservative,Historical,Grocery | Paid Search,Grocery,Paid Search,104841.43012926997,41936.57205170799,230651.14628439394,106859.51550123916,0.1047642308835678,,
Conservative,Historical,Home | Affiliate,Home,Affiliate,61446.09484640107,24578.43793856043,135181.40866208237,62628.866437948964,0.06140084944896957,,
Conservative,Historical,Home | Lifecycle CRM,Home,Lifecycle CRM,126466.2648823791,50586.505952951644,278225.78274123406,128900.60518937437,0.1263731423425239,,
Conservative,Historical,Home | Paid Search,Home,Paid Search,89434.61026176963,35773.84410470785,196756.1425758932,91156.13083330801,0.08936875571892942,,
Conservative,Equal,Beauty | Affiliate,Beauty,Affiliate,73228.74375426142,29291.49750170457,161103.23625937515,85000.0,0.08333333333333333,,
Conservative,Equal,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,60893.91167713842,24357.56467085537,133966.60568970453,85000.0,0.08333333333333333,,
Conservative,Equal,Beauty | Paid Search,Beauty,Paid Search,89481.96028419399,35792.7841136776,196860.3126252268,85000.0,0.08333333333333333,,
Conservative,Equal,Electronics | Affiliate,Electronics,Affiliate,52162.91533670347,20865.16613468139,114758.41374074764,85000.0,0.08333333333333333,,
Conservative,Equal,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,110313.34337041707,44125.33734816683,242689.35541491758,85000.0,0.08333333333333333,,
Conservative,Equal,Electronics | Paid Search,Electronics,Paid Search,71178.82837293956,28471.531349175828,156593.42242046705,85000.0,0.08333333333333333,,
Conservative,Equal,Grocery | Affiliate,Grocery,Affiliate,94834.19343614153,37933.677374456616,208635.2255595114,85000.0,0.08333333333333333,,
Conservative,Equal,Grocery | Lifecycle CRM,Grocery,Lifecycle CRM,66454.58917745414,26581.835670981658,146200.0961903991,85000.0,0.08333333333333333,,
Conservative,Equal,Grocery | Paid Search,Grocery,Paid Search,104841.43012926997,41936.57205170799,230651.14628439394,85000.0,0.08333333333333333,,
Conservative,Equal,Home | Affiliate,Home,Affiliate,61446.09484640107,24578.43793856043,135181.40866208237,85000.0,0.08333333333333333,,
Conservative,Equal,Home | Lifecycle CRM,Home,Lifecycle CRM,126466.2648823791,50586.505952951644,278225.78274123406,85000.0,0.08333333333333333,,
Conservative,Equal,Home | Paid Search,Home,Paid Search,89434.61026176963,35773.84410470785,196756.1425758932,85000.0,0.08333333333333333,,
Conservative,Optimized,Beauty | Affiliate,Beauty,Affiliate,73228.74375426142,29291.49750170457,161103.23625937515,51260.12062798299,0.05025502022351274,63966.31687840105,12706.196250418056
Conservative,Optimized,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,60893.91167713842,24357.56467085537,133966.60568970453,92863.2153076361,0.09104236794866284,131919.6262752296,39056.41096759349
Conservative,Optimized,Beauty | Paid Search,Beauty,Paid Search,89481.96028419399,35792.7841136776,196860.3126252268,76059.6662415649,0.07456830023682834,88063.90104250475,12004.234800939841
Conservative,Optimized,Electronics | Affiliate,Electronics,Affiliate,52162.91533670347,20865.16613468139,114758.41374074764,83460.66453872556,0.08182418092031918,128721.98213728434,45261.31759855879
Conservative,Optimized,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,110313.34337041707,44125.33734816683,242689.35541491758,52398.83810094811,0.051371409902890304,62264.16508740382,9865.326986455708
Conservative,Optimized,Electronics | Paid Search,Electronics,Paid Search,71178.82837293956,28471.531349175828,156593.42242046705,87194.06475685097,0.085484377212599,112809.03769395372,25614.97293710275
Conservative,Optimized,Grocery | Affiliate,Grocery,Affiliate,94834.19343614153,37933.677374456616,208635.2255595114,73496.4999130097,0.07205539207157814,88812.73995535073,15316.240042341029
Conservative,Optimized,Grocery | Lifecycle CRM,Grocery,Lifecycle CRM,66454.58917745414,26581.835670981658,146200.0961903991,136231.907813781,0.1335606939350794,214879.76321030088,78647.85539651988
Conservative,Optimized,Grocery | Paid Search,Grocery,Paid Search,104841.43012926997,41936.57205170799,230651.14628439394,84320.73513540969,0.08266738738765655,116696.27643456763,32375.541299157936
Conservative,Optimized,Home | Affiliate,Home,Affiliate,61446.09484640107,24578.43793856043,135181.40866208237,107530.66598120188,0.10542222155019793,153252.12886603316,45721.462884831286
Conservative,Optimized,Home | Lifecycle CRM,Home,Lifecycle CRM,126466.2648823791,50586.505952951644,278225.78274123406,79041.41555148695,0.07749158387400681,87833.84044732073,8792.424895833785
Conservative,Optimized,Home | Paid Search,Home,Paid Search,89434.61026176963,35773.84410470785,196756.1425758932,96142.20603140237,0.09425706473666899,173664.24051502856,77522.0344836262
Conservative,Oracle,Beauty | Affiliate,Beauty,Affiliate,73228.74375426142,29291.49750170457,161103.23625937515,51260.12062798299,0.05025502022351274,69595.18221755908,18335.061589576086
Conservative,Oracle,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,60893.91167713842,24357.56467085537,133966.60568970453,88296.17193185071,0.0865648744429909,138218.02356430792,49921.85163245721
Conservative,Oracle,Beauty | Paid Search,Beauty,Paid Search,89481.96028419399,35792.7841136776,196860.3126252268,69348.51922025034,0.06798874433357877,87850.28099721379,18501.761776963453
Conservative,Oracle,Electronics | Affiliate,Electronics,Affiliate,52162.91533670347,20865.16613468139,114758.41374074764,83021.03647281213,0.08139317301256091,140486.9969829088,57465.96051009667
Conservative,Oracle,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,110313.34337041707,44125.33734816683,242689.35541491758,52398.83810094811,0.051371409902890304,67286.6628975928,14887.824796644694
Conservative,Oracle,Electronics | Paid Search,Electronics,Paid Search,71178.82837293956,28471.531349175828,156593.42242046705,87194.06475685097,0.085484377212599,124645.69255387184,37451.62779702086
Conservative,Oracle,Grocery | Affiliate,Grocery,Affiliate,94834.19343614153,37933.677374456616,208635.2255595114,80609.06442072031,0.07902849453011795,106305.97718376048,25696.912763040164
Conservative,Oracle,Grocery | Lifecycle CRM,Grocery,Lifecycle CRM,66454.58917745414,26581.835670981658,146200.0961903991,111311.43687223569,0.10912885967866244,209487.7735220342,98176.33664979851
Conservative,Oracle,Grocery | Paid Search,Grocery,Paid Search,104841.43012926997,41936.57205170799,230651.14628439394,89115.21560987948,0.08736785844105831,129115.31516392498,40000.099554045504
Conservative,Oracle,Home | Affiliate,Home,Affiliate,61446.09484640107,24578.43793856043,135181.40866208237,112139.12309468196,0.10994031675949212,178055.7254985722,65916.60240389024
Conservative,Oracle,Home | Lifecycle CRM,Home,Lifecycle CRM,126466.2648823791,50586.505952951644,278225.78274123406,79041.41555148695,0.07749158387400681,91393.01854528718,12351.602993800232
Conservative,Oracle,Home | Paid Search,Home,Paid Search,89434.61026176963,35773.84410470785,196756.1425758932,116264.99334030053,0.11398528758852992,209268.581325011,93003.58798471048
