week_start,cell_id,category,channel,spend,context_index,measured_incremental_contribution,evidence_type,evidence_reference
2024-01-01,Beauty | Affiliate,Beauty,Affiliate,97818.62345914,1.00000000,101161.08577223,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-08,Electronics | Paid Search,Electronics,Paid Search,36707.97698501,1.06051320,95639.61563124,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-08,Grocery | Affiliate,Grocery,Affiliate,76768.29988773,1.01986024,109908.51888646,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-08,Grocery | Lifecycle CRM,Grocery,Lifecycle CRM,57812.48425966,0.97525298,179207.93083144,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-08,Grocery | Paid Search,Grocery,Paid Search,79711.14154720,0.93557301,143366.10323788,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-08,Home | Affiliate,Home,Affiliate,72782.03184576,0.90872082,169502.70830638,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-08,Home | Lifecycle CRM,Home,Lifecycle CRM,143727.49493522,0.90004284,126403.72421971,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-08,Home | Paid Search,Home,Paid Search,103122.44805548,0.91126691,206675.66870213,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-15,Beauty | Affiliate,Beauty,Affiliate,66697.94134285,1.04647232,84081.94479036,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-15,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,63234.38833021,1.08036015,139359.29601016,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-15,Beauty | Paid Search,Beauty,Paid Search,69615.89901617,1.09824781,94240.94730859,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-15,Electronics | Affiliate,Electronics,Affiliate,74450.94089521,1.09657376,159124.40534908,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-15,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,156691.56178976,1.07567132,126404.91879886,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-15,Electronics | Paid Search,Electronics,Paid Search,102777.46533040,1.03970228,158289.88125810,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-15,Grocery | Affiliate,Grocery,Affiliate,95073.33851658,0.99582828,139510.07524130,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-15,Grocery | Lifecycle CRM,Grocery,Lifecycle CRM,92639.81036007,0.95278490,177478.02451574,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-15,Grocery | Paid Search,Grocery,Paid Search,109642.64562787,0.91914232,129638.09623590,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-15,Home | Affiliate,Home,Affiliate,70221.62107331,0.90159897,131628.98646646,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-15,Home | Lifecycle CRM,Home,Lifecycle CRM,181463.82983694,0.90364784,134342.44425269,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-15,Home | Paid Search,Home,Paid Search,114956.86454479,0.92488098,231139.08255160,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-22,Beauty | Affiliate,Beauty,Affiliate,36173.72794316,1.06631227,74311.91318470,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-22,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,93526.88640183,1.09226833,177256.28719840,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-22,Beauty | Paid Search,Beauty,Paid Search,123414.06377931,1.09985323,135991.34876954,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-22,Electronics | Affiliate,Electronics,Affiliate,33246.54966361,1.08755677,113110.73481233,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-22,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,91384.37524269,1.05782726,92755.68056778,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-22,Electronics | Paid Search,Electronics,Paid Search,49910.19457110,1.01658400,115619.42989967,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-22,Grocery | Affiliate,Grocery,Affiliate,76668.03106575,0.97203877,104608.94389320,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-22,Grocery | Lifecycle CRM,Grocery,Lifecycle CRM,98987.47065974,0.93306079,183843.33808693,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-22,Grocery | Paid Search,Grocery,Paid Search,125316.70511295,0.90741079,147456.71803202,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-22,Home | Affiliate,Home,Affiliate,90193.33247740,0.90019584,164650.65226392,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-22,Home | Lifecycle CRM,Home,Lifecycle CRM,129844.15024503,0.91285247,111466.75379083,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-22,Home | Paid Search,Home,Paid Search,128814.78676037,0.94286069,217174.19815278,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-29,Beauty | Affiliate,Beauty,Affiliate,122431.58647601,1.08229839,110302.54527434,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-29,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,96667.32742014,1.09881420,171618.64353325,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-29,Beauty | Paid Search,Beauty,Paid Search,121767.17778038,1.09565554,134782.11605671,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-29,Electronics | Affiliate,Electronics,Affiliate,81136.88517015,1.07345130,171991.81818170,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-29,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,106900.10594285,1.03662248,127310.08754524,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-29,Electronics | Paid Search,Electronics,Paid Search,62639.19031281,0.99250192,127232.92398055,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-29,Grocery | Affiliate,Grocery,Affiliate,120262.38074118,0.94987427,139589.61314407,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-29,Grocery | Lifecycle CRM,Grocery,Lifecycle CRM,97996.36365818,0.91722694,192297.20675831,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-29,Grocery | Paid Search,Grocery,Paid Search,159194.10753695,0.90106020,143820.60280681,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-29,Home | Affiliate,Home,Affiliate,81962.83662591,0.90459296,154226.48965771,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-29,Home | Lifecycle CRM,Home,Lifecycle CRM,139847.62326556,0.92712181,122358.57131300,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-29,Home | Paid Search,Home,Paid Search,147538.69437960,0.96416113,254491.17812551,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-05,Beauty | Affiliate,Beauty,Affiliate,69799.61458959,1.09350162,98158.24263161,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-05,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,83951.39740949,1.09961736,148748.51952411,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-05,Beauty | Paid Search,Beauty,Paid Search,59474.08643275,1.08589870,88891.88543603,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-05,Electronics | Affiliate,Electronics,Affiliate,32388.77555467,1.05507711,103416.78657129,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-05,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,52837.31592250,1.01328935,92800.66394351,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-05,Electronics | Paid Search,Electronics,Paid Search,79581.08686560,0.96885560,132853.77593380,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-05,Grocery | Affiliate,Grocery,Affiliate,89437.87509183,0.93062289,122335.37245027,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-05,Grocery | Lifecycle CRM,Grocery,Lifecycle CRM,107243.36012497,0.90620356,198614.20996112,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-05,Grocery | Paid Search,Grocery,Paid Search,72610.52791707,0.90045964,102056.42295602,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-05,Home | Affiliate,Home,Affiliate,64712.09561338,0.91453479,160641.46502821,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-05,Home | Lifecycle CRM,Home,Lifecycle CRM,168107.75945762,0.94562655,135045.33060985,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-05,Home | Paid Search,Home,Paid Search,53081.36135203,0.98754439,158102.31107882,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-12,Beauty | Affiliate,Beauty,Affiliate,65256.75738275,1.09927089,87938.11433324,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-12,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,36746.31092081,1.09463111,98828.83080650,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-12,Beauty | Paid Search,Beauty,Paid Search,110205.45502676,1.07114974,120310.42128953,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-12,Electronics | Affiliate,Electronics,Affiliate,94770.19360342,1.03350203,181056.25062449,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-12,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,113950.14688460,0.98918388,101051.01773386,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-12,Electronics | Paid Search,Electronics,Paid Search,96986.71949228,0.94701928,145416.28285814,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-12,Grocery | Affiliate,Grocery,Affiliate,131165.36028687,0.91540345,122148.25560568,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-12,Grocery | Lifecycle CRM,Grocery,Lifecycle CRM,71056.13608664,0.90063128,167978.28871932,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-12,Grocery | Paid Search,Grocery,Paid Search,165791.47317309,0.90564400,146372.47720093,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-12,Home | Affiliate,Home,Affiliate,70982.68414396,0.92944355,159294.65262320,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-12,Home | Lifecycle CRM,Home,Lifecycle CRM,211659.65134474,0.96729129,130216.55962243,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-12,Home | Paid Search,Home,Paid Search,73490.02451807,1.01165153,241458.58639447,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-19,Beauty | Affiliate,Beauty,Affiliate,93894.56667208,1.09927089,112469.46931920,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-19,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,90688.09803555,1.08414525,169170.85343528,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-19,Beauty | Paid Search,Beauty,Paid Search,49192.87031463,1.05226581,86793.20907067,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-19,Electronics | Affiliate,Electronics,Affiliate,65808.77924811,1.00997994,160387.03872776,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-19,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,48152.51588471,0.96570701,72114.50293331,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-19,Electronics | Paid Search,Electronics,Paid Search,108982.72503146,0.92826201,154616.41331043,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-19,Grocery | Affiliate,Grocery,Affiliate,46200.20925258,0.90510046,79384.74842323,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-19,Grocery | Lifecycle CRM,Grocery,Lifecycle CRM,76513.60259804,0.90083396,168161.21618931,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-19,Grocery | Paid Search,Grocery,Paid Search,118646.02244866,0.91631199,122842.05426144,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-19,Home | Affiliate,Home,Affiliate,62637.01613409,0.94845279,137048.28629453,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-19,Home | Lifecycle CRM,Home,Lifecycle CRM,122140.97126905,0.99085694,133081.01914665,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-19,Home | Paid Search,Home,Paid Search,110969.27165953,1.03508152,244931.98911157,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-26,Beauty | Affiliate,Beauty,Affiliate,150191.50781966,1.23565684,134344.24978868,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-26,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,76592.28218120,1.20770917,164195.48412669,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-26,Beauty | Paid Search,Beauty,Paid Search,111489.25195947,1.16428916,141252.22290804,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-26,Electronics | Affiliate,Electronics,Affiliate,79194.92419715,1.11404197,173840.84610067,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-26,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,125590.92436828,1.06697213,118973.86070465,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-26,Electronics | Paid Search,Electronics,Paid Search,67604.60806394,1.03245150,139841.74820150,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-26,Grocery | Affiliate,Grocery,Affiliate,135592.71582819,1.01735334,121221.31607793,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-26,Grocery | Lifecycle CRM,Grocery,Lifecycle CRM,43342.34432692,1.02468378,143131.88971429,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-26,Grocery | Paid Search,Grocery,Paid Search,163621.42866892,1.05298329,177739.70868229,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-26,Home | Affiliate,Home,Affiliate,32332.38435224,1.09661728,112231.52687263,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-26,Home | Lifecycle CRM,Home,Lifecycle CRM,181048.61910974,1.14689796,159978.93082342,synthetic_fixture,public-safe-schema-fixture-v1
2024-02-26,Home | Paid Search,Home,Paid Search,49906.28916686,1.19381416,203469.80627758,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-04,Beauty | Affiliate,Beauty,Affiliate,108753.75753773,1.22299718,115069.82733893,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-04,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,67870.14102614,1.18581803,133150.76813493,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-04,Beauty | Paid Search,Beauty,Paid Search,132224.16021221,1.13752519,138892.24310445,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-04,Electronics | Affiliate,Electronics,Affiliate,91821.11964468,1.08773404,221683.84671051,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-04,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,53438.34746503,1.04635829,84008.80446840,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-04,Electronics | Paid Search,Electronics,Paid Search,77506.76783196,1.02163608,141499.35024303,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-04,Grocery | Affiliate,Grocery,Affiliate,138787.15005197,1.01848977,145099.50870335,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-04,Grocery | Lifecycle CRM,Grocery,Lifecycle CRM,35634.10336739,1.03754578,121364.77776845,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-04,Grocery | Paid Search,Grocery,Paid Search,109706.34678949,1.07500997,136345.90895588,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-04,Home | Affiliate,Home,Affiliate,29355.96245905,1.12342299,102406.65627171,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-04,Home | Lifecycle CRM,Home,Lifecycle CRM,159426.92541286,1.17314553,150764.99599667,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-04,Home | Paid Search,Home,Paid Search,47732.59250678,1.21427755,174293.52004331,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-11,Beauty | Affiliate,Beauty,Affiliate,62778.84424081,1.06631227,88038.24356971,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-11,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,45128.53423130,1.02715305,116933.85832321,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-11,Beauty | Paid Search,Beauty,Paid Search,123405.54413573,0.98258750,115577.07807960,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-11,Electronics | Affiliate,Electronics,Affiliate,81561.30762181,0.94148889,157841.04294385,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-11,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,73241.19129203,0.91204017,76168.00858718,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-11,Electronics | Paid Search,Electronics,Paid Search,48014.45746345,0.90010477,86981.65527393,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-11,Grocery | Affiliate,Grocery,Affiliate,105238.80911673,0.90805908,97854.87660800,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-11,Grocery | Lifecycle CRM,Grocery,Lifecycle CRM,43042.38078917,0.93431937,146454.89306317,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-11,Grocery | Paid Search,Grocery,Paid Search,133682.04944314,0.97365705,161820.76067292,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-11,Home | Affiliate,Home,Affiliate,59988.66532674,1.01823976,153990.44979073,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-11,Home | Lifecycle CRM,Home,Lifecycle CRM,139969.92202073,1.05919083,164041.55869272,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-11,Home | Paid Search,Home,Paid Search,145470.17247060,1.08835667,256318.86609890,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-18,Beauty | Affiliate,Beauty,Affiliate,108625.57417610,1.04647232,109208.92034716,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-18,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,56353.80407691,1.00333158,133854.21771213,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-18,Beauty | Paid Search,Beauty,Paid Search,143909.88097429,0.95952750,119600.67243837,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-18,Electronics | Affiliate,Electronics,Affiliate,59900.98365718,0.92378174,142281.92197489,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-18,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,160374.03440159,0.90321147,124324.64011805,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-18,Electronics | Paid Search,Electronics,Paid Search,98715.39688071,0.90191236,145870.31336509,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-18,Grocery | Affiliate,Grocery,Affiliate,102829.59136275,0.92014306,118584.27693551,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-18,Grocery | Lifecycle CRM,Grocery,Lifecycle CRM,64302.78581475,0.95427375,178826.53580161,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-18,Grocery | Paid Search,Grocery,Paid Search,85656.95876124,0.99750880,131098.71317531,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-18,Home | Affiliate,Home,Affiliate,52993.32625422,1.04123986,140233.76826134,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-18,Home | Lifecycle CRM,Home,Lifecycle CRM,132591.44927136,1.07675982,131519.30867262,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-18,Home | Paid Search,Home,Paid Search,55634.21298281,1.09699646,189988.18505947,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-25,Beauty | Affiliate,Beauty,Affiliate,42457.93935441,1.02393157,70277.06689813,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-25,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,55076.49871983,0.97931649,128209.09080030,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-25,Beauty | Paid Search,Beauty,Paid Search,42331.47185961,0.93881961,70187.21716512,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-25,Electronics | Affiliate,Electronics,Affiliate,48141.62610021,0.91050411,113244.06737312,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-25,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,104414.06065119,0.90000776,99772.92056886,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-25,Electronics | Paid Search,Electronics,Paid Search,47905.17964120,0.90942044,98835.34788390,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-25,Grocery | Affiliate,Grocery,Affiliate,84224.88926073,0.93686804,101405.39240073,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-25,Grocery | Lifecycle CRM,Grocery,Lifecycle CRM,57360.77878489,0.97688557,157002.51917556,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-25,Grocery | Paid Search,Grocery,Paid Search,47834.31081985,1.02150533,105330.59617272,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-25,Home | Affiliate,Home,Affiliate,42734.70611207,1.06184324,133911.89955962,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-25,Home | Lifecycle CRM,Home,Lifecycle CRM,102369.97386538,1.08986781,125035.07845158,synthetic_fixture,public-safe-schema-fixture-v1
2024-03-25,Home | Paid Search,Home,Paid Search,98278.63881953,1.09999918,228017.94484191,synthetic_fixture,public-safe-schema-fixture-v1
2024-04-01,Beauty | Affiliate,Beauty,Affiliate,92004.13307231,1.00000000,93724.26571593,synthetic_fixture,public-safe-schema-fixture-v1
2024-04-01,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,73509.32613297,0.95650345,143797.16473530,synthetic_fixture,public-safe-schema-fixture-v1
2024-04-01,Beauty | Paid Search,Beauty,Paid Search,64440.21169611,0.92166731,79108.36294020,synthetic_fixture,public-safe-schema-fixture-v1
2024-04-01,Electronics | Affiliate,Electronics,Affiliate,78348.89213887,0.90242766,141084.21871933,synthetic_fixture,public-safe-schema-fixture-v1
2024-04-01,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,137973.32036008,0.90261524,98600.43263823,synthetic_fixture,public-safe-schema-fixture-v1
2024-04-01,Electronics | Paid Search,Electronics,Paid Search,62678.62911458,0.92219268,112119.78744707,synthetic_fixture,public-safe-schema-fixture-v1
2024-04-01,Grocery | Affiliate,Grocery,Affiliate,72896.80448669,0.95726201,98735.67498498,synthetic_fixture,public-safe-schema-fixture-v1
2024-04-01,Grocery | Lifecycle CRM,Grocery,Lifecycle CRM,62059.12102448,1.00084072,172473.26188299,synthetic_fixture,public-safe-schema-fixture-v1
2024-04-01,Grocery | Paid Search,Grocery,Paid Search,53116.29501000,1.04425204,99082.30813367,synthetic_fixture,public-safe-schema-fixture-v1
2024-04-01,Home | Affiliate,Home,Affiliate,109158.88668173,1.07885253,241192.70833137,synthetic_fixture,public-safe-schema-fixture-v1
2024-04-01,Home | Lifecycle CRM,Home,Lifecycle CRM,107615.31554051,1.09775301,125285.60408065,synthetic_fixture,public-safe-schema-fixture-v1
2024-04-01,Home | Paid Search,Home,Paid Search,89585.64248925,1.09719031,232824.16099264,synthetic_fixture,public-safe-schema-fixture-v1
2024-04-08,Beauty | Affiliate,Beauty,Affiliate,110580.68488151,0.97606843,101380.04142295,synthetic_fixture,public-safe-schema-fixture-v1
2024-04-08,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,48959.01185281,0.93621827,93157.61673347,synthetic_fixture,public-safe-schema-fixture-v1
2024-04-08,Beauty | Paid Search,Beauty,Paid Search,150048.15122624,0.90906741,119155.50272566,synthetic_fixture,public-safe-schema-fixture-v1
2024-04-08,Electronics | Affiliate,Electronics,Affiliate,28976.06739639,0.90002177,103271.61715783,synthetic_fixture,public-safe-schema-fixture-v1
2024-04-08,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,150946.95780420,0.91088236,107346.81963221,synthetic_fixture,public-safe-schema-fixture-v1
2024-04-08,Electronics | Paid Search,Electronics,Paid Search,36441.79167411,0.93948680,85376.13841340,synthetic_fixture,public-safe-schema-fixture-v1
2024-04-08,Grocery | Affiliate,Grocery,Affiliate,66650.60152219,0.98013976,90575.76675274,synthetic_fixture,public-safe-schema-fixture-v1
2024-04-08,Grocery | Lifecycle CRM,Grocery,Lifecycle CRM,54938.07692616,1.02474702,164468.97663000,synthetic_fixture,public-safe-schema-fixture-v1
2024-04-08,Grocery | Paid Search,Grocery,Paid Search,86382.01941628,1.06442699,156671.26414903,synthetic_fixture,public-safe-schema-fixture-v1
2024-04-08,Home | Affiliate,Home,Affiliate,67297.95646070,1.09127918,213955.17140882,synthetic_fixture,public-safe-schema-fixture-v1
2024-04-08,Home | Lifecycle CRM,Home,Lifecycle CRM,122833.13276257,1.09995716,148016.61630752,synthetic_fixture,public-safe-schema-fixture-v1
2024-04-08,Home | Paid Search,Home,Paid Search,150682.54370628,1.08873309,306410.91765130,synthetic_fixture,public-safe-schema-fixture-v1
2024-04-15,Beauty | Affiliate,Beauty,Affiliate,95052.31409027,0.95352768,90719.00290775,synthetic_fixture,public-safe-schema-fixture-v1
2024-04-15,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,62744.89626920,0.91963985,135705.19854911,synthetic_fixture,public-safe-schema-fixture-v1
2024-04-15,Beauty | Paid Search,Beauty,Paid Search,68573.33710547,0.90175219,79615.39864907,synthetic_fixture,public-safe-schema-fixture-v1
2024-04-15,Electronics | Affiliate,Electronics,Affiliate,90461.23334509,0.90342624,166098.24582288,synthetic_fixture,public-safe-schema-fixture-v1
2024-04-15,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,125811.46657912,0.92432868,100371.26001111,synthetic_fixture,public-safe-schema-fixture-v1
